Name,Sex,Hand,IOC,Won_Tournaments,Number_of_Matches,Win_Percentage,best_year_matches,worst_year_matches,best_year_wins,worst_year_wins
Paulina Franco Martinessi,F,U,PAR,0.0,3.0,0.3333333333333333,2018.0,2018.0,2018.0,2018.0
Holly Verner,F,R,USA,0.0,30.0,0.4,2019.0,2018.0,2019.0,2019.0
Emily Bi,F,U,USA,0.0,3.0,0.3333333333333333,2018.0,2018.0,2018.0,2018.0
Yu Yang Jin,F,U,CHN,0.0,9.0,0.3333333333333333,2019.0,2018.0,2019.0,2018.0
Chloe Isabella Tsang,F,U,AUS,0.0,15.0,0.26666666666666666,2019.0,2018.0,2019.0,2018.0
Jiayun Zhu,F,U,CHN,0.0,21.0,0.38095238095238093,2019.0,2020.0,2019.0,2018.0
Xinlei Guan,F,U,CHN,0.0,5.0,0.2,2019.0,2018.0,2019.0,2019.0
Yuping Wang,F,U,CHN,0.0,13.0,0.3076923076923077,2019.0,2018.0,2019.0,2018.0
Xinrui Liu,F,U,CHN,0.0,13.0,0.15384615384615385,2019.0,2018.0,2019.0,2019.0
Hongding Dong,F,U,CHN,0.0,12.0,0.16666666666666666,2019.0,2018.0,2018.0,2018.0
Darja Vidmanova,F,R,CZE,0.0,71.0,0.5211267605633803,2021.0,2018.0,2021.0,2018.0
Sofia Milatova,F,R,SVK,0.0,109.0,0.45871559633027525,2021.0,2018.0,2021.0,2018.0
Katerina Mandelikova,F,U,CZE,0.0,17.0,0.35294117647058826,2021.0,2018.0,2021.0,2019.0
Petra Csabi,F,R,CZE,0.0,24.0,0.4166666666666667,2019.0,2018.0,2019.0,2019.0
Aurore Felsenhart,F,U,BEL,0.0,5.0,0.2,2018.0,2021.0,2018.0,2018.0
Syuzen Afifi,F,R,RUS,0.0,5.0,0.2,2019.0,2018.0,2018.0,2018.0
Beatris Spasova,F,R,BUL,0.0,62.0,0.4838709677419355,2021.0,2018.0,2021.0,2019.0
Ana Conde Vendrell,F,U,FRA,0.0,5.0,0.2,2018.0,2019.0,2018.0,2018.0
Stella Wiesemann,F,R,GER,0.0,12.0,0.5,2019.0,2018.0,2019.0,2018.0
Sophia Unger,F,R,SUI,0.0,3.0,0.3333333333333333,2019.0,2018.0,2019.0,2019.0
Karen Marthiens,F,U,FRA,0.0,45.0,0.4444444444444444,2021.0,2020.0,2021.0,2019.0
Maria Shusharina,F,U,RUS,0.0,52.0,0.6538461538461539,2019.0,2018.0,2019.0,2018.0
Iuliia Nikitina,F,U,RUS,0.0,56.0,0.4642857142857143,2019.0,2018.0,2019.0,2021.0
Sofia Sokhetskaya,F,U,KAZ,0.0,8.0,0.125,2019.0,2018.0,2019.0,2019.0
Giulia Brighi,F,U,ITA,0.0,17.0,0.35294117647058826,2019.0,2018.0,2018.0,2018.0
Likhitha Kalava,F,R,IND,0.0,25.0,0.28,2019.0,2020.0,2019.0,2018.0
Merlina Sarno,F,U,ARG,0.0,10.0,0.5,2021.0,2018.0,2021.0,2019.0
Daianne Hayashida,F,U,PER,0.0,5.0,0.4,2018.0,2020.0,2018.0,2018.0
Solana Sierra,F,U,ARG,0.0,23.0,0.5652173913043478,2019.0,2018.0,2019.0,2018.0
