Name,Sex,Hand,IOC,Won_Tournaments,Number_of_Matches,Win_Percentage,best_year_matches,worst_year_matches,best_year_wins,worst_year_wins
Gaston Arturo Grimolizzi,M,U,ARG,0.0,2.0,0.0,2016.0,2016.0,,
Patrick Prader,M,R,ITA,0.0,2.0,0.0,2016.0,2016.0,,
Woong Sun Jun,M,R,KOR,0.0,2.0,0.0,2016.0,2016.0,,
Rafael Arevalo,M,R,ESA,0.0,2.0,0.0,2016.0,2016.0,,
Sherif Sabry,M,U,EGY,0.0,1.0,0.0,2016.0,2016.0,,
Tushar Liberhan,M,R,IND,0.0,1.0,0.0,2016.0,2016.0,,
Antonio Ruiz,M,R,MEX,0.0,1.0,0.0,2017.0,2017.0,,
Yassine Idmbarek,M,U,MAR,0.0,4.0,0.0,2016.0,2016.0,,
Robert Farah,M,R,COL,0.0,1.0,0.0,2016.0,2016.0,,
George Jecminek,M,R,CAN,0.0,1.0,0.0,2017.0,2017.0,,
Abdullah Maqdas,M,U,KUW,0.0,2.0,0.0,2017.0,2017.0,,
Raony Carvalho,M,R,BRA,0.0,1.0,0.0,2017.0,2017.0,,
Mateusz Kowalczyk,M,R,POL,0.0,1.0,0.0,2016.0,2016.0,,
Mauricio Alvarez Guzman,M,R,CHI,0.0,1.0,0.0,2017.0,2017.0,,
Michal Pazicky,M,R,SVK,0.0,1.0,0.0,2016.0,2016.0,,
Jean Yves Aubone,M,R,USA,0.0,1.0,0.0,2016.0,2016.0,,
Valery Rudnev,M,R,RUS,0.0,2.0,0.0,2016.0,2016.0,,
Alejandro Moreno Figueroa,M,R,MEX,0.0,4.0,0.0,2016.0,2016.0,,
Diego Matos,M,U,BRA,0.0,1.0,0.0,2017.0,2017.0,,
Vaja Uzakov,M,R,UZB,0.0,1.0,0.0,2021.0,2021.0,,
Steven Goh,M,R,AUS,0.0,1.0,0.0,2018.0,2018.0,,
Jean Andersen,M,R,RSA,0.0,1.0,0.0,2016.0,2016.0,,
Aditya Hari Sasongko,M,U,INA,0.0,3.0,0.0,2016.0,2017.0,,
Adrian Sikora,M,U,SVK,0.0,1.0,0.0,2016.0,2016.0,,
Stephan Fransen,M,R,NED,0.0,2.0,0.0,2018.0,2018.0,,
Yu Chang,M,U,CHN,0.0,1.0,0.0,2017.0,2017.0,,
Mehdi Jdi,M,R,MAR,0.0,5.0,0.0,2016.0,2017.0,,
David Rice,M,R,GBR,0.0,1.0,0.0,2016.0,2016.0,,
Roberto Maytin,M,R,VEN,0.0,7.0,0.0,2018.0,2017.0,,
Alexis Klegou,M,U,BEN,0.0,1.0,0.0,2016.0,2016.0,,
Thibault Venturino,M,U,FRA,0.0,1.0,0.0,2016.0,2016.0,,
Yi Feng Li,M,U,CHN,0.0,1.0,0.0,2016.0,2016.0,,
Masaki Sasai,M,U,JPN,0.0,2.0,0.0,2016.0,2016.0,,
Georgi Rumenov Payakov,M,U,ESP,0.0,1.0,0.0,2016.0,2016.0,,
