,Name,Sex,Hand,IOC,Won_Tournaments,Number_of_Matches,Win_Percentage,best_year_matches,worst_year_matches,best_year_wins,worst_year_wins,avg_rank
2863,Shrivalli Rashmikaa Bhamidipaty,F,U,IND,0.0,17.0,0.3529411764705882,2019.0,2017.0,2019.0,2017.0,
2864,Sathwika Sama,F,R,IND,0.0,56.0,0.375,2019.0,2017.0,2019.0,2018.0,1015.047619047619
2865,Susan Doldan,F,U,PAR,0.0,49.0,0.2653061224489796,2019.0,2017.0,2019.0,2018.0,1218.45
2866,Heydi Doldan,F,U,PAR,0.0,49.0,0.2857142857142857,2019.0,2017.0,2019.0,2017.0,1272.4833333333333
2867,Vanesa Nikolovova,F,R,CZE,0.0,2.0,0.5,2017.0,2017.0,2017.0,2017.0,
2868,Sofia Velarde,F,U,BOL,0.0,3.0,0.3333333333333333,2019.0,2017.0,2019.0,2019.0,
2869,Isabella Ciancaglini,F,U,BOL,0.0,2.0,0.5,2017.0,2017.0,2017.0,2017.0,
2870,Isabela Ioana Dima,F,U,ROU,0.0,9.0,0.3333333333333333,2019.0,2020.0,2019.0,2020.0,
2871,Sophia Hatton,F,U,USA,0.0,13.0,0.4615384615384615,2019.0,2020.0,2019.0,2019.0,
2872,Elizabeth Coleman,F,U,USA,0.0,10.0,0.3,2019.0,2021.0,2019.0,2019.0,
2873,Kylie Collins,F,R,USA,0.0,35.0,0.5142857142857142,2019.0,2020.0,2019.0,2020.0,1072.1999999999998
2874,Polina Akimova,F,U,RUS,0.0,5.0,0.4,2018.0,2019.0,2018.0,2018.0,
2875,Zaneta Malinovic,F,R,BIH,0.0,4.0,0.25,2020.0,2020.0,2020.0,2020.0,
2876,Amber Marshall,F,U,AUS,0.0,46.0,0.5869565217391305,2019.0,2018.0,2019.0,2018.0,815.7649572649573
2877,Tayla Whitehouse,F,R,AUS,0.0,6.0,0.1666666666666666,2018.0,2018.0,2019.0,2019.0,
2878,Rozalie Dohnalova,F,R,CZE,0.0,4.0,0.5,2021.0,2020.0,2021.0,2021.0,
2879,Constanza Cruz,F,R,ARG,0.0,7.0,0.4285714285714285,2021.0,2019.0,2019.0,2021.0,
2880,Lara Rosario De Faveri,F,U,ARG,0.0,6.0,0.1666666666666666,2019.0,2019.0,2019.0,2019.0,
2881,Sofia Nahiara Garcia,F,U,ARG,0.0,6.0,0.3333333333333333,2019.0,2021.0,2019.0,2019.0,
2882,Juliette Mazzoni,F,U,FRA,0.0,32.0,0.125,2021.0,2019.0,2021.0,2019.0,
2883,Francesca Rumi,F,U,ITA,0.0,13.0,0.2307692307692307,2019.0,2018.0,2020.0,2019.0,
2884,Holly Staff,F,U,GBR,0.0,19.0,0.2105263157894736,2019.0,2018.0,2019.0,2020.0,
2885,Johanna Strom,F,U,SWE,0.0,8.0,0.25,2021.0,2019.0,2019.0,2019.0,
2886,Marie Weckerle,F,U,LUX,0.0,5.0,0.4,2021.0,2019.0,2021.0,2021.0,
2887,Anastasia Mironova,F,U,RUS,0.0,17.0,0.4117647058823529,2019.0,2018.0,2019.0,2018.0,
2888,Emely Kahrs,F,U,NOR,0.0,3.0,0.3333333333333333,2018.0,2018.0,2018.0,2018.0,
2889,Wiktoria Saska,F,R,POL,0.0,6.0,0.3333333333333333,2018.0,2018.0,2018.0,2018.0,
2890,Carola Cavelli,F,R,ITA,0.0,33.0,0.2727272727272727,2019.0,2021.0,2019.0,2020.0,
2891,Graziella Barrett,F,U,GBR,0.0,21.0,0.0952380952380952,2019.0,2020.0,2019.0,2019.0,
2892,Vickie Trocker,F,U,ITA,0.0,14.0,0.2857142857142857,2019.0,2018.0,2019.0,2019.0,
2893,Melissa Landres,F,R,GUD,0.0,6.0,0.1666666666666666,2019.0,2018.0,2020.0,2020.0,
2894,Lauren Pastor,F,U,FRA,0.0,2.0,0.5,2018.0,2018.0,2018.0,2018.0,
2895,Tina Ronel,F,U,FRA,0.0,2.0,0.5,2018.0,2018.0,2018.0,2018.0,
2896,Gloria Alogo Piqueras,F,U,ESP,0.0,12.0,0.0833333333333333,2021.0,2018.0,2021.0,2021.0,
2897,Naho Sato,F,R,JPN,1.0,60.0,0.6,2019.0,2021.0,2019.0,2020.0,659.3316912972085
2898,Gemma Lairon Navarro,F,U,ESP,0.0,50.0,0.5,2019.0,2020.0,2019.0,2020.0,1009.1181818181817
2899,Diletta Cherubini,F,U,ITA,0.0,43.0,0.6046511627906976,2021.0,2018.0,2021.0,2019.0,1053.0555555555557
2900,Paula Ortega Redondo,F,U,ESP,0.0,28.0,0.2142857142857142,2019.0,2018.0,2020.0,2019.0,
2901,Luniuska Delgado,F,U,VEN,0.0,15.0,0.4666666666666667,2019.0,2018.0,2019.0,2018.0,
2902,Clara Vlasselaer,F,U,BEL,0.0,104.0,0.5288461538461539,2019.0,2018.0,2021.0,2018.0,1036.9545454545455
2903,Amarissa Kiara Toth,F,U,HUN,0.0,14.0,0.3571428571428571,2021.0,2018.0,2021.0,2021.0,1254.0
2904,Selina Pichler,F,R,AUT,0.0,13.0,0.3076923076923077,2019.0,2018.0,2019.0,2019.0,
2905,Nina Stankovska,F,U,SVK,0.0,5.0,0.2,2018.0,2019.0,2018.0,2018.0,
2906,Cristina Elena Tiglea,F,U,ITA,0.0,15.0,0.3333333333333333,2019.0,2021.0,2019.0,2018.0,
2907,Qinwen Zheng,F,R,CHN,6.0,114.0,0.7105263157894737,2020.0,2018.0,2020.0,2018.0,532.4577807250221
2908,Mavie Osterreicher,F,U,AUT,0.0,6.0,0.3333333333333333,2021.0,2018.0,2021.0,2021.0,
2909,Francesca Curmi,F,R,MLT,0.0,58.0,0.5689655172413793,2021.0,2019.0,2021.0,2018.0,1142.7619047619048
2910,Esther Bataille,F,U,FRA,0.0,14.0,0.3571428571428571,2021.0,2018.0,2021.0,2021.0,
2911,Annalisa Calandra,F,R,ITA,0.0,3.0,0.3333333333333333,2018.0,2018.0,2018.0,2018.0,
2912,Julie Belgraver,F,U,FRA,0.0,69.0,0.5217391304347826,2021.0,2018.0,2021.0,2019.0,981.0967741935484
2913,Isabelle Haverlag,F,U,NED,0.0,49.0,0.3469387755102041,2021.0,2018.0,2021.0,2018.0,1375.0
2914,Madison Sieg,F,R,USA,0.0,5.0,0.2,2021.0,2018.0,2021.0,2021.0,
2915,Jaleesa Leslie,F,U,USA,0.0,20.0,0.4,2019.0,2018.0,2019.0,2020.0,
2916,Victoria Hu,F,U,USA,0.0,50.0,0.52,2021.0,2020.0,2021.0,2019.0,1186.2142857142858
2917,Hailey Baptiste,F,R,USA,3.0,110.0,0.6090909090909091,2019.0,2020.0,2019.0,2020.0,303.00040322580645
2918,Karine Marion Job,F,U,FRA,0.0,5.0,0.2,2018.0,2019.0,2018.0,2018.0,
2919,Zara Brankovic,F,U,AUS,0.0,24.0,0.4166666666666667,2019.0,2018.0,2019.0,2019.0,1199.75
2920,Anastasia Berezov,F,R,AUS,0.0,13.0,0.3076923076923077,2019.0,2020.0,2019.0,2018.0,780.5
2921,Alessia Truden,F,U,ITA,0.0,10.0,0.2,2018.0,2019.0,2018.0,2018.0,
2922,Tina Vlajic,F,R,SWE,0.0,8.0,0.125,2020.0,2021.0,2020.0,2020.0,
2923,Anna Arkadianou,F,U,GRE,0.0,27.0,0.3703703703703703,2019.0,2018.0,2019.0,2018.0,1257.875
2924,Marina Kurosu,F,U,JPN,0.0,3.0,0.3333333333333333,2018.0,2019.0,2018.0,2018.0,
2925,Ayumi Hirata,F,U,JPN,0.0,7.0,0.5714285714285714,2020.0,2018.0,2020.0,2019.0,
2926,Vanshita Pathania,F,R,IND,0.0,7.0,0.1428571428571428,2021.0,2018.0,2021.0,2021.0,
2927,Muskan Gupta,F,U,IND,0.0,8.0,0.25,2019.0,2018.0,2018.0,2018.0,
