,Name,Sex,Hand,IOC,Won_Tournaments,Number_of_Matches,Win_Percentage,best_year_matches,worst_year_matches,best_year_wins,worst_year_wins,avg_rank
691,Boris Arias,M,R,BOL,0.0,11.0,0.1818181818181818,2018.0,2021.0,2018.0,2018.0,1267.75
692,Karue Sell,M,R,BRA,0.0,22.0,0.5909090909090909,2018.0,2017.0,2018.0,2017.0,541.8406593406594
693,Michael Redlicki,M,L,USA,0.0,76.0,0.5,2019.0,2017.0,2019.0,2017.0,391.2055555555555
694,Lloyd Glasspool,M,U,GBR,0.0,129.0,0.4883720930232558,2016.0,2020.0,2017.0,2020.0,407.54761904761904
695,Austin Smith,M,U,USA,0.0,4.0,0.25,2016.0,2016.0,2016.0,2016.0,
696,Ronald Slobodchikov,M,R,RUS,0.0,38.0,0.2894736842105263,2018.0,2020.0,2018.0,2019.0,582.8548951048951
697,Zhaoyi Cao,M,R,CHN,0.0,5.0,0.4,2016.0,2017.0,2016.0,2016.0,1125.8333333333335
698,Vasile Alexandru Ghilea,M,R,ROU,0.0,2.0,0.5,2018.0,2018.0,2018.0,2018.0,642.0
699,Maxime Tchoutakian,M,U,FRA,0.0,3.0,0.3333333333333333,2018.0,2018.0,2018.0,2018.0,655.5
700,Liam Broady,M,L,GBR,0.0,296.0,0.5405405405405406,2017.0,2020.0,2017.0,2018.0,250.50347327091512
701,Mitchell Krueger,M,R,USA,2.0,289.0,0.4705882352941176,2018.0,2021.0,2018.0,2021.0,211.78616661207556
702,Samuel Monette,M,L,CAN,0.0,26.0,0.4230769230769231,2017.0,2016.0,2017.0,2016.0,632.45
703,Mathias Bourgue,M,R,FRA,1.0,295.0,0.5559322033898305,2017.0,2020.0,2017.0,2020.0,216.13412499999998
704,Filip Peliwo,M,R,CAN,1.0,166.0,0.4397590361445783,2018.0,2020.0,2018.0,2020.0,271.8687689122472
705,Luke Saville,M,R,AUS,0.0,209.0,0.4401913875598086,2018.0,2021.0,2018.0,2020.0,353.2293853073463
706,Hernan Casanova,M,U,ARG,0.0,73.0,0.3835616438356164,2021.0,2017.0,2021.0,2017.0,366.06388888888887
707,Kimmer Coppejans,M,R,BEL,2.0,310.0,0.532258064516129,2018.0,2020.0,2018.0,2020.0,202.65392697662202
708,Gregoire Barrere,M,R,FRA,3.0,257.0,0.5525291828793775,2019.0,2017.0,2019.0,2017.0,177.5158249158249
709,Lucas Pouille,M,R,FRA,6.0,247.0,0.5668016194331984,2016.0,2020.0,2016.0,2021.0,37.14906086196855
710,Bar Tzuf Botzer,M,R,ISR,0.0,9.0,0.5555555555555556,2016.0,2018.0,2016.0,2018.0,1227.9333333333334
711,Mateo Nicolas Martinez,M,R,ARG,0.0,4.0,0.25,2016.0,2017.0,2016.0,2016.0,697.3333333333333
712,Andrew Harris,M,R,AUS,0.0,120.0,0.5166666666666667,2019.0,2021.0,2019.0,2021.0,311.9727272727273
713,Mico Santiago,M,U,USA,0.0,8.0,0.125,2016.0,2016.0,2016.0,2016.0,903.6428571428571
714,Patrik Fabian,M,L,SVK,0.0,10.0,0.4,2016.0,2017.0,2016.0,2016.0,603.7083333333333
715,Alexander Ritschard,M,R,SUI,0.0,90.0,0.5,2019.0,2016.0,2019.0,2017.0,447.6700258397933
716,Marko Tepavac,M,R,SRB,1.0,75.0,0.44,2016.0,2021.0,2016.0,2018.0,282.9060606060606
717,Yuqing Ning,M,R,CHN,0.0,7.0,0.2857142857142857,2016.0,2017.0,2016.0,2016.0,1212.6
718,Xin Gao,M,U,CHN,0.0,62.0,0.3064516129032258,2016.0,2019.0,2016.0,2017.0,623.0314505776637
719,David Perez Sanz,M,U,ESP,0.0,39.0,0.2051282051282051,2016.0,2018.0,2016.0,2018.0,377.24384236453204
720,Vaclav Safranek,M,R,CZE,0.0,160.0,0.41875,2018.0,2021.0,2016.0,2021.0,288.34839972761324
721,Harrison Adams,M,R,USA,0.0,11.0,0.5454545454545454,2018.0,2019.0,2018.0,2018.0,592.25
722,Christian Harrison,M,R,USA,0.0,127.0,0.5118110236220472,2018.0,2016.0,2018.0,2016.0,360.4152518392756
