Name,Sex,Hand,IOC,Won_Tournaments,Number_of_Matches,Win_Percentage
Marjorie Blackwood,F,U,Undefined,0.0,,
Catherine Tanvier,F,U,Undefined,0.0,,
Kim Steinmetz,F,U,Undefined,0.0,,
Tracy Austin,F,U,Undefined,0.0,,
Iva Budarova,F,U,Undefined,0.0,,
Jennifer Mundel,F,U,Undefined,0.0,,
Kate Latham,F,U,Undefined,0.0,,
Manuela Maleeva Fragniere,F,U,Undefined,0.0,,
Wendy White,F,U,Undefined,0.0,,
Andrea Leand,F,U,Undefined,0.0,,
Zina Garrison,F,U,Undefined,0.0,,
Susan Mascarin,F,U,Undefined,0.0,,
Claudia Monteiro,F,U,Undefined,0.0,,
Camille Benjamin,F,U,Undefined,0.0,,
Alycia Moulton,F,U,Undefined,0.0,,
Petra Delhees Jauch,F,U,Undefined,0.0,,
Yvonne Vermaak,F,U,Undefined,0.0,,
Jane Preyer,F,U,Undefined,0.0,,
Vicki Nelson,F,U,Undefined,0.0,,
Heather Ludloff,F,U,Undefined,0.0,,
Steffi Graf,F,U,Undefined,0.0,,
Catherine Suire,F,U,Undefined,0.0,,
Robin White,F,U,Undefined,0.0,,
Gigi Fernandez,F,U,Undefined,0.0,,
Amanda Brown,F,U,Undefined,0.0,,
Kathy Rinaldi Stunkel,F,U,Undefined,0.0,,
Anna Maria Fernandez,F,U,Undefined,0.0,,
Pascale Paradis Mangon,F,U,Undefined,0.0,,
Raffaella Reggi Concato,F,U,Undefined,0.0,,
Carling Bassett Seguso,F,U,Undefined,0.0,,
Etsuko Inoue,F,U,Undefined,0.0,,
Sophie Amiach,F,U,Undefined,0.0,,
Kim Staunton,F,U,Undefined,0.0,,
Beth Herr,F,U,Undefined,0.0,,
Lori Mcneil,F,U,Undefined,0.0,,
Elizabeth Minter,F,U,Undefined,0.0,,
Marcela Skuherska,F,U,Undefined,0.0,,
Lilian Drescher,F,U,Undefined,0.0,,
Laura Bernstein,F,U,Undefined,0.0,,
Kim Jones,F,U,Undefined,0.0,,
Shelley Solomon,F,U,Undefined,0.0,,
Barbara Gerken,F,U,Undefined,0.0,,
Carina Karlsson,F,U,Undefined,0.0,,
Annabel Croft,F,U,Undefined,0.0,,
Michaela Washington,F,U,Undefined,0.0,,
Jenny Byrne,F,U,Undefined,0.0,,
Shawn Foltz,F,U,Undefined,0.0,,
Louise Field,F,U,Undefined,0.0,,
Andrea Temesvari,F,U,Undefined,0.0,,
Sara Gomer,F,U,Undefined,0.0,,
Elise Burgin,F,U,Undefined,0.0,,
Svetlana Cherneva,F,U,Undefined,0.0,,
Colleen Carney,F,U,Undefined,0.0,,
Adriana Villagran Reami,F,U,Undefined,0.0,,
Sandy Collins,F,U,Undefined,0.0,,
Petra Keppeler,F,U,Undefined,0.0,,
Larisa Savchenko,F,U,Undefined,0.0,,
Beverly Mould,F,U,Undefined,0.0,,
Tine Scheuer Larsen,F,U,Undefined,0.0,,
Catarina Lindqvist Ryan,F,U,Undefined,0.0,,
Myriam Schropp,F,U,Undefined,0.0,,
Katerina Maleeva,F,U,Undefined,0.0,,
Masako Yanagi,F,U,Undefined,0.0,,
Andrea Holikova,F,U,Undefined,0.0,,
