Name,Sex,Hand,IOC,Won_Tournaments,Number_of_Matches,Win_Percentage
Matt Doyle,M,U,Undefined,0.0,,
Ricardo Acuna,M,U,Undefined,0.0,,
Scott Mccain,M,U,Undefined,0.0,,
Juan Farrow,M,U,Undefined,0.0,,
Doug Adler,M,U,Undefined,0.0,,
Chris Dunk,M,U,Undefined,0.0,,
Erick Iskersky,M,U,Undefined,0.0,,
Shozo Shiraishi,M,U,Undefined,0.0,,
Gilles Moretton,M,U,Undefined,0.0,,
Ricardo Ycaza,M,U,Undefined,0.0,,
Chris Bradnam,M,U,Undefined,0.0,,
Randy Druz,M,U,Undefined,0.0,,
Kevin Curren,M,U,Undefined,0.0,,
Andreas Maurer,M,U,Undefined,0.0,,
Arnaud Decugis,M,U,Undefined,0.0,,
Johan Kriek,M,U,Undefined,0.0,,
Paul Avis,M,U,Undefined,0.0,,
Steve Meister,M,U,Undefined,0.0,,
Tony Giammalva,M,U,Undefined,0.0,,
Fernando Luna,M,U,Undefined,0.0,,
Mike Brunnberg,M,U,Undefined,0.0,,
Alejandro Gattiker,M,U,Undefined,0.0,,
Rick Meyers,M,U,Undefined,0.0,,
Drew Gitlin,M,U,Undefined,0.0,,
Jan Kallquist,M,U,Undefined,0.0,,
Geoff Macdonald,M,U,Undefined,0.0,,
Peter Elter,M,U,Undefined,0.0,,
Tony Mmoh,M,U,Undefined,0.0,,
Deon Joubert,M,U,Undefined,0.0,,
Eric Fromm,M,U,Undefined,0.0,,
Rocky Royer,M,U,Undefined,0.0,,
Ivan Kley,M,U,Undefined,0.0,,
Jeff Lee,M,U,Undefined,0.0,,
Brad Guan,M,U,Undefined,0.0,,
Brad Drewett,M,U,Undefined,0.0,,
Norbert Henn,M,U,Undefined,0.0,,
Nduka Odizor,M,U,Undefined,0.0,,
Matthew Mcdonald,M,U,Undefined,0.0,,
Jose Luis Clerc,M,U,Undefined,0.0,,
Brian Levine,M,U,Undefined,0.0,,
Jai Dilouie,M,U,Undefined,0.0,,
Rodney Crowley,M,U,Undefined,0.0,,
Mike Gandolfo,M,U,Undefined,0.0,,
Jacques Manset,M,U,Undefined,0.0,,
Peter Smylie,M,U,Undefined,0.0,,
Tom Cain,M,U,Undefined,0.0,,
Joel Hoffman,M,U,Undefined,0.0,,
Cary Stansbury,M,U,Undefined,0.0,,
Lloyd Bourne,M,U,Undefined,0.0,,
Hitoshi Shirato,M,U,Undefined,0.0,,
Chip Hooper,M,U,Undefined,0.0,,
John Mattke,M,U,Undefined,0.0,,
Toru Yonezawa,M,U,Undefined,0.0,,
Marty Davis,M,U,Undefined,0.0,,
Mark Freedman,M,U,Undefined,0.0,,
Ney Keller,M,U,Undefined,0.0,,
Ron Hightower,M,U,Undefined,0.0,,
Peter Rennert,M,U,Undefined,0.0,,
Andy Andrews,M,U,Undefined,0.0,,
John Huebner,M,U,Undefined,0.0,,
Rory Chappell,M,U,Undefined,0.0,,
Brent Pirow,M,U,Undefined,0.0,,
Heinz Gunthardt,M,U,Undefined,0.0,,
Rick Cowden,M,U,Undefined,0.0,,
